"Co_45_20_70","Small Single Dining Complexes","Co_45_20"
"Co_45_20_90","Temporary Dining Complexes","Co_45_20"
"Co_45_35","Historic Recreational Complexes","Co_45"
"Co_45_35_45","Large Historic Recreational Complexes","Co_45_35"
"Co_45_35_75","Small Historic Recreational Complexes","Co_45_35"
"Co_45_60","Performing Arts Complexes","Co_45"
"Co_45_60_10","Multiple Performing Arts Complexes","Co_45_60"
"Co_45_60_40","Large Single Performing Arts Complexes","Co_45_60"
"Co_45_60_70","Small Single Performing Arts Complexes","Co_45_60"
"Co_45_60_90","Temporary Performing Arts Complexes","Co_45_60"
"Co_45_75","Social Recreation Complexes","Co_45"
"Co_45_75_10","Multiple Social Recreation Complexes","Co_45_75"
"Co_45_75_40","Large Single Social Recreation Complexes","Co_45_75"
"Co_45_75_70","Small Single Social Recreation Complexes","Co_45_75"
"Co_45_80","Sports Complexes","Co_45"
"Co_45_80_10","Multiple Sports Complexes","Co_45_80"
"Co_45_80_40","Large Single Sports Complexes","Co_45_80"
"Co_45_80_70","Small Single Sports Complexes","Co_45_80"
"Co_45_80_90","Temporary Sports Complexes","Co_45_80"
"Co_45_85","Swimming Complexes","Co_45"
"Co_45_85_10","Multiple Swimming Complexes","Co_45_85"
"Co_45_85_40","Large Single Swimming Complexes","Co_45_85"
"Co_45_85_70","Small Single Swimming Complexes","Co_45_85"
"Co_50","Religious Complexes","Co"
"Co_50_30","Worship Complexes","Co_50"
"Co_50_30_10","Multiple Worship Complexes","Co_50_30"
"Co_50_30_40","Large Single Worship Complexes","Co_50_30"
"Co_50_30_70","Small Single Worship Complexes","Co_50_30"
"Co_55","Residential Complexes","Co"
"Co_55_10","Long-Term Residential Complexes","Co_55"
"Co_55_10_10","Multiple Long-Term Residential Complexes","Co_55_10"
"Co_55_10_40","Large Single Long-Term Residential Complexes","Co_55_10"
"Co_55_10_70","Small Single Long-Term Residential Complexes","Co_55_10"
"Co_55_10_90","Religious Long-Term Residential Complexes","Co_55_10"
"Co_55_50","Short-Term Residential Complexes","Co_55"
"Co_55_50_10","Multiple Commercial Short-Term Residential Complexes","Co_55_50"
"Co_55_50_20","Large Single Commercial Short-Term Residential Complexes","Co_55_50"
"Co_55_50_30","Small Single Commercial Short-Term Residential Complexes","Co_55_50"
"Co_55_50_40","Large Single Institutional Short-Term Residential Complexes","Co_55_50"
"Co_55_50_50","Small Single Institutional Short-Term Residential Complexes","Co_55_50"
"Co_55_50_70","Educational Short-Term Residential Complexes","Co_55_50"
"Co_55_50_80","Religious Short-Term Residential Complexes","Co_55_50"
"Co_55_50_90","Temporary Residential Complexes","Co_55_50"
"Co_60","Utilities And Civil Engineering Complexes","Co"
"Co_60_50","Disposal Complexes","Co_60"
"Co_60_50_20","Wet Waste Collection And Distribution Complexes","Co_60_50"
"Co_60_50_40","Dry Waste Collection And Distribution Complexes","Co_60_50"
"Co_60_50_60","Wet Waste Storage, Treatment And Disposal Complexes","Co_60_50"
"Co_60_50_80","Dry Waste Storage, Treatment And Disposal Complexes","Co_60_50"
"Co_60_55","Piped Supply Complexes","Co_60"
"Co_60_55_20","Water Extraction And Treatment Complexes","Co_60_55"
"Co_60_55_40","Fuel And Gas Extraction And Treatment Complexes","Co_60_55"
"Co_60_55_60","Water Storage Complexes","Co_60_55"
"Co_60_55_70","Fuel And Gas Storage Complexes","Co_60_55"
"Co_60_55_80","Water Distribution Complexes","Co_60_55"
"Co_60_55_90","Fuel And Gas Distribution Complexes","Co_60_55"
"Co_60_60","Heating, Cooling And Refrigeration Complexes","Co_60"
"Co_60_60_10","Heating Complexes","Co_60_60"
"Co_60_60_40","Cooling Complexes","Co_60_60"
"Co_60_60_70","Refrigeration Complexes","Co_60_60"
"Co_60_65","Ventilation And Air Conditioning Complexes","Co_60"
"Co_60_70","Electrical Complexes","Co_60"
"Co_60_70_10","Electrical Power Generation Complexes","Co_60_70"
"Co_60_70_40","Non-Electrical Power Generation Complexes","Co_60_70"
"Co_60_70_70","Electrical Power Transmission And Distribution Complexes","Co_60_70"
"Co_60_75","Communications, Security, Safety And Protection Complexes","Co_60"
"Co_60_75_10","Broadcast Communications Complexes","Co_60_75"
"Co_60_75_30","Peer-To-Peer Communications Complexes","Co_60_75"
"Co_60_75_50","Postal Communications Complexes","Co_60_75"
"Co_60_75_70","Electronic Security Complexes","Co_60_75"
"Co_60_75_80","Electronic Safety Complexes","Co_60_75"
"Co_60_75_90","Electronic Protection Complexes","Co_60_75"
"Co_60_80","Rail Complexes","Co_60"
"Co_60_80_10","Heavy Rail Complexes","Co_60_80"
"Co_60_80_50","Light Rail Complexes","Co_60_80"
"Co_60_80_80","Rail Loading And Embarkation Complexes","Co_60_80"
"Co_60_80_90","Rail Storage And Repair Complexes","Co_60_80"
"Co_60_81","Road Complexes","Co_60"
"Co_60_81_10","Major Road Complexes","Co_60_81"
"Co_60_81_50","Minor Road Complexes","Co_60_81"
"Co_60_81_70","Path Complexes","Co_60_81"
"Co_60_81_80","Road Loading And Embarkation Complexes","Co_60_81"
"Co_60_81_90","Road Storage And Repair Complexes","Co_60_81"
"Co_60_82","Marine And Waterway Complexes","Co_60"
"Co_60_82_10","Marine Complexes","Co_60_82"
"Co_60_82_50","Waterway Complexes","Co_60_82"
"Co_60_82_80","Marine And Waterway Loading And Embarkation Complexes","Co_60_82"
"Co_60_82_90","Marine And Waterway Storage And Repair Complexes","Co_60_82"
"Co_60_82_95","Marine And Waterway Protection Complexes","Co_60_82"
"Co_60_83","Cable Transport Complexes","Co_60"
"Co_60_83_10","Cable Transport Complexes","Co_60_83"
"Co_60_83_80","Cable Transport Loading And Embarkation Complexes","Co_60_83"
"Co_60_83_90","Cable Transport Storage And Repair Complexes","Co_60_83"
"Co_60_84_10","Major Aerospace Complexes","Co_60_84"
"Co_60_84","Aerospace Complexes","Co_60"
"Co_60_84_50","Minor Aerospace Complexes","Co_60_84"
"Co_60_84_80","Aerospace Loading And Embarkation Complexes","Co_60_84"
"Co_60_84_90","Aerospace Storage And Repair Complexes","Co_60_84"
"Co_65","Sanitary, Cleaning, Maintenance And Storage Complexes","Co"
"Co_65_30","Sanitary Complexes","Co_65"
"Co_65_30_10","Bathing Complexes","Co_65_30"
"Co_65_50","Cleaning And Maintenance Complexes","Co_65"
"Co_65_50_45","Laundry Complexes","Co_65_50"
"Co_65_70","Storage Complexes","Co_65"
"Co_65_70_45","Long-Term Storage Complexes","Co_65_70"
"Co_65_70_75","Short-Term Storage Complexes","Co_65_70"
"Ee_15","Preparatory Elements","Ee"
"Ee_15_10","Utility Preparation","Ee_15"
"Ee_15_10_10","Utility Preparation","Ee_15_10"
"Ee_15_10_30","Utility Remediation","Ee_15_10"
"Ee_15_10_50","Utility Surveys","Ee_15_10"
"Ee_15_10_80","Utility Temporary Works","Ee_15_10"
"Ee_15_30","Transport Preparation","Ee_15"
"Ee_15_30_10","Transport Preparation","Ee_15_30"
"Ee_15_30_30","Transport Remediation","Ee_15_30"
"Ee_15_30_50","Transport Surveys","Ee_15_30"
"Ee_15_30_80","Transport Temporary Works","Ee_15_30"
"Ee_15_50","Building Preparation","Ee_15"
"Ee_15_50_10","Building Preparation","Ee_15_50"
"Ee_15_50_30","Building Remediation","Ee_15_50"
"Ee_15_50_50","Building Surveys","Ee_15_50"
"Ee_15_50_80","Building Temporary Works","Ee_15_50"
"Ee_15_70","Landscape Preparation","Ee_15"
"Ee_15_70_10","Landscape Preparation","Ee_15_70"
"Ee_15_70_30","Landscape Remediation","Ee_15_70"
"Ee_15_70_50","Landscape Surveys","Ee_15_70"
"Ee_15_70_80","Landscape Temporary Works","Ee_15_70"
"Ee_15_80","Process Preparation","Ee_15"
"Ee_15_80_10","Process Preparation","Ee_15_80"
"Ee_15_80_30","Process Remediation","Ee_15_80"
"Ee_15_80_50","Process Surveys","Ee_15_80"
"Ee_15_80_80","Process Temporary Works","Ee_15_80"
"Ee_20","Whole-Entity Structural Elements","Ee"
"Ee_20_05","Substructure","Ee_20"
"Ee_20_05_05","Substructure Core Fabric","Ee_20_05"
"Ee_20_05_40","Substructure Coverings","Ee_20_05"
"Ee_20_05_45","Substructure Finishes","Ee_20_05"
"Ee_20_05_75","Substructure Drainage","Ee_20_05"
"Ee_20_10","Structure","Ee_20"
"Ee_20_10_10","Structure Core Fabric","Ee_20_10"
"Ee_20_10_40","Structure Coverings","Ee_20_10"
"Ee_20_10_45","Structure Finishes","Ee_20_10"
"Ee_20_10_85","Structure Protection","Ee_20_10"
"Ee_20_95","Temporary Whole-Entity Structures","Ee_20"
"Ee_25","Wall And Barrier Elements","Ee"
"Ee_25_10","Basement Walls","Ee_25"
"Ee_25_10_05","Basement Walls Substructure","Ee_25_10"
"Ee_25_10_10","Basement Walls Structure","Ee_25_10"
"Ee_25_10_25","Basement Walls Internal Skin","Ee_25_10"
"Ee_25_10_30","Basement Walls Accessible Opening","Ee_25_10"
"Ee_25_10_40","Basement Walls Internal Coverings","Ee_25_10"
"Ee_25_10_45","Basement Walls Internal Finishes","Ee_25_10"
"Ee_25_10_75","Basement Walls Drainage","Ee_25_10"
"Ee_25_20","External Walls","Ee_25"
"Ee_25_20_05","External Walls Substructure","Ee_25_20"
"Ee_25_20_10","External Walls Structure","Ee_25_20"
"Ee_25_20_20","External Walls External Skin","Ee_25_20"
"Ee_25_20_25","External Walls Internal Skin","Ee_25_20"
"Ee_25_20_30","External Walls Accessible Openings","Ee_25_20"
"Ee_25_20_35","External Walls Non-Accessible Openings","Ee_25_20"
"Ee_25_20_40","External Walls External Coverings","Ee_25_20"
"Ee_25_20_42","External Walls Internal Coverings","Ee_25_20"
"Ee_25_20_45","External Walls External Finishes","Ee_25_20"
"Ee_25_20_47","External Walls Internal Finishes","Ee_25_20"
"Ee_25_20_50","External Walls Canopies","Ee_25_20"
"Ee_25_20_55","External Walls Screens","Ee_25_20"
"Ee_25_20_65","External Walls Accessory Finishes","Ee_25_20"
"Ee_25_20_85","External Walls Power Supply, Security And Protection","Ee_25_20"
"Ee_25_25","Internal Walls","Ee_25"
"Ee_25_25_05","Internal Walls Substructure","Ee_25_25"
"Ee_25_25_10","Internal Walls Structure","Ee_25_25"
"Ee_25_25_30","Internal Walls Accessible Openings","Ee_25_25"
"Ee_25_25_35","Internal Walls Non-Accessible Openings","Ee_25_25"
"Ee_25_25_40","Internal Walls Face A Coverings","Ee_25_25"
"Ee_25_25_42","Internal Walls Face B Coverings","Ee_25_25"
"Ee_25_25_45","Internal Walls Face A Finishes","Ee_25_25"
"Ee_25_25_47","Internal Walls Face B Finishes","Ee_25_25"
"Ee_25_30","External Garden Walls","Ee_25"
"Ee_25_30_05","External Garden Walls Substructure","Ee_25_30"
"Ee_25_30_10","External Garden Walls Structure","Ee_25_30"
"Ee_25_30_30","External Garden Walls Accessible Openings","Ee_25_30"
"Ee_25_30_35","External Garden Walls Non-Accessible Openings","Ee_25_30"
"Ee_25_30_40","External Garden Walls Face A Coverings","Ee_25_30"
"Ee_25_30_42","External Garden Walls Face B Coverings","Ee_25_30"
"Ee_25_30_45","External Garden Walls Face A Finishes","Ee_25_30"
"Ee_25_30_47","External Garden Walls Face B Finishes","Ee_25_30"
"Ee_25_30_50","External Garden Walls Canopies","Ee_25_30"
"Ee_25_30_55","External Garden Walls Screens","Ee_25_30"
"Ee_25_30_65","External Garden Walls Accessory Finishes","Ee_25_30"
"Ee_25_30_85","External Garden Walls Power Supply","Ee_25_30"
"Ee_25_35","External Green Walls","Ee_25"
"Ee_25_35_05","External Green Walls Substructure","Ee_25_35"
"Ee_25_35_10","External Green Walls Structure","Ee_25_35"
"Ee_25_35_45","External Green Walls Finishes","Ee_25_35"
"Ee_25_35_70","External Green Walls Natural Planting","Ee_25_35"
"Ee_25_35_75","External Green Walls Drainage And Irrigation","Ee_25_35"
"Ee_25_40","Fences","Ee_25"
"Ee_25_40_05","Fences Substructure","Ee_25_40"
"Ee_25_40_10","Fences Structure","Ee_25_40"
"Ee_25_40_30","Fences Accessible Openings","Ee_25_40"
"Ee_25_40_35","Fences Non-Accessible Openings","Ee_25_40"
"Ee_25_40_40","Fences Face A Coverings","Ee_25_40"
"Ee_25_40_42","Fences Face B Coverings","Ee_25_40"
"Ee_25_40_45","Fences Face A Finishes","Ee_25_40"
"Ee_25_40_47","Fences Face B Finishes","Ee_25_40"
"Ee_25_50","Fixed Traffic And Protective Barriers","Ee_25"
"Ee_25_50_05","Fixed Traffic And Protective Barriers Substructure","Ee_25_50"
"Ee_25_50_10","Fixed Traffic And Protective Barriers Structure","Ee_25_50"
"Ee_25_50_30","Fixed Traffic And Protective Barriers Accessible Openings","Ee_25_50"
"Ee_25_50_35","Fixed Traffic And Protective Barriers Non-Accessible Openings","Ee_25_50"
"Ee_25_50_40","Fixed Traffic And Protective Barriers Coverings","Ee_25_50"
"Ee_25_50_45","Fixed Traffic And Protective Barriers Finishes","Ee_25_50"
"Ee_25_60","Dams And Levees","Ee_25"
"Ee_25_60_05","Dams And Levees Substructure","Ee_25_60"
"Ee_25_60_10","Dams And Levees Structure","Ee_25_60"
"Ee_25_60_40","Dams And Levees Water-Side Coverings","Ee_25_60"
"Ee_25_60_42","Dams And Levees Dry-Side Coverings","Ee_25_60"
"Ee_25_60_45","Dams And Levees Water-Side Finishes","Ee_25_60"
"Ee_25_60_47","Dams And Levees Dry-Side Finishes","Ee_25_60"
"Ee_25_80","Operable Barriers","Ee_25"
"Ee_25_80_05","Operable Barriers Substructure","Ee_25_80"
"Ee_25_80_10","Operable Barriers Structure","Ee_25_80"
"Ee_25_80_45","Operable Barriers Finishes","Ee_25_80"
"Ee_25_80_85","Operable Barriers Power Supply And Communications","Ee_25_80"
"Ee_25_95","Temporary Walls And Barriers","Ee_25"
"Ee_25_95_10","Temporary Walls And Barriers Structure","Ee_25_95"
"Ee_25_95_45","Temporary Walls And Barriers Finishes","Ee_25_95"
"Ee_25_95_85","Temporary Walls And Barriers Power Supply And Communications","Ee_25_95"
"Ee_30","Roof, Floor And Paving Elements","Ee"
"Ee_30_10","Roofs","Ee_30"
"Ee_30_10_10","Roofs Structure","Ee_30_10"
"Ee_30_10_20","Roofs Decking","Ee_30_10"
"Ee_30_10_25","Roofs Ceiling Or Soffit","Ee_30_10"
"Ee_30_10_30","Roofs Accessible Openings","Ee_30_10"
"Ee_30_10_35","Roofs Non-Accessible Openings","Ee_30_10"
"Ee_30_10_40","Roofs External Coverings","Ee_30_10"
"Ee_30_10_42","Roofs Ceiling Or Soffit Coverings","Ee_30_10"
"Ee_30_10_45","Roofs External Finishes","Ee_30_10"
"Ee_30_10_47","Roofs Ceiling Or Soffit Finishes","Ee_30_10"
"Ee_30_10_50","Roofs Canopies","Ee_30_10"
"Ee_30_10_55","Roofs Barriers","Ee_30_10"
"Ee_30_10_57","Roofs Fixed Access","Ee_30_10"
"Ee_30_10_60","Roofs Features","Ee_30_10"
"Ee_30_10_65","Roofs Accessory Finishes","Ee_30_10"
"Ee_30_10_70","Roofs Natural Planting","Ee_30_10"
"Ee_30_10_75","Roofs Drainage","Ee_30_10"
"Ee_30_10_85","Roofs Power Supply And Protection","Ee_30_10"
"Ee_30_20","On-Ground Lowest Floors","Ee_30"
"Ee_30_20_05","Lowest Floors Substructure","Ee_30_20"
"Ee_30_20_10","Lowest Floors Structure","Ee_30_20"
"Ee_30_20_20","Lowest Floors Flooring","Ee_30_20"
"Ee_30_20_30","Lowest Floors Accessible Openings","Ee_30_20"
"Ee_30_20_40","Lowest Floors Floor Coverings","Ee_30_20"
"Ee_30_20_45","Lowest Floors Floor Finishes","Ee_30_20"
"Ee_30_20_55","Lowest Floors Barriers","Ee_30_20"
"Ee_30_20_65","Lowest Floors Accessory Finishes","Ee_30_20"
"Ee_30_20_75","Lowest Floors Drainage","Ee_30_20"
"Ee_30_20_85","Lowest Floors Protection","Ee_30_20"
"Ee_30_25","Suspended Lowest Floors","Ee_30"
"Ee_30_25_05","Lowest Floors Substructure","Ee_30_25"
"Ee_30_25_10","Lowest Floors Structure","Ee_30_25"
"Ee_30_25_20","Lowest Floors Flooring","Ee_30_25"
"Ee_30_25_30","Lowest Floors Accessible Openings","Ee_30_25"
"Ee_30_25_35","Lowest Floors Non-Accessible Openings","Ee_30_25"
"Ee_30_25_40","Lowest Floors Floor Coverings","Ee_30_25"
"Ee_30_25_45","Lowest Floors Floor Finishes","Ee_30_25"
"Ee_30_25_55","Lowest Floors Barriers","Ee_30_25"
"Ee_30_25_65","Lowest Floors Accessory Finishes","Ee_30_25"
"Ee_30_25_85","Lowest Floors Protection","Ee_30_25"
"Ee_30_40","Upper Floors","Ee_30"
"Ee_30_40_10","Upper Floors Structure","Ee_30_40"
"Ee_30_40_20","Upper Floors Flooring","Ee_30_40"
"Ee_30_40_25","Upper Floors Ceiling Or Soffit","Ee_30_40"
"Ee_30_40_30","Upper Floors Accessible Openings","Ee_30_40"
"Ee_30_40_35","Upper Floors Non-Accessible Openings","Ee_30_40"
"Ee_30_40_40","Upper Floors Floor Coverings","Ee_30_40"
"Ee_30_40_42","Upper Floors Ceiling Or Soffit Coverings","Ee_30_40"
"Ee_30_40_45","Upper Floors Floor Finishes","Ee_30_40"
"Ee_30_40_47","Upper Floors Ceiling Or Soffit Finishes","Ee_30_40"
"Ee_30_40_55","Upper Floors Barriers","Ee_30_40"
"Ee_30_40_65","Upper Floors Accessory Finishes","Ee_30_40"
"Ee_30_40_85","Upper Floors Protection","Ee_30_40"
"Ee_30_50","Balconies","Ee_30"
"Ee_30_50_10","Balconies Structure","Ee_30_50"
"Ee_30_50_25","Balconies Soffit","Ee_30_50"
"Ee_30_50_30","Balconies Accessible Openings","Ee_30_50"
"Ee_30_50_35","Balconies Non-Accessible Openings","Ee_30_50"
"Ee_30_50_40","Balconies Trafficable Coverings","Ee_30_50"
"Ee_30_50_42","Balconies Soffit Coverings","Ee_30_50"
"Ee_30_50_45","Balconies Trafficable Finishes","Ee_30_50"
"Ee_30_50_47","Balconies Soffit Finishes","Ee_30_50"
"Ee_30_50_55","Balconies Barriers","Ee_30_50"
"Ee_30_50_65","Balconies Accessory Finishes","Ee_30_50"
"Ee_30_50_75","Balconies Drainage","Ee_30_50"
"Ee_30_60","On-Ground Paving","Ee_30"
"Ee_30_60_05","Paving Substructure","Ee_30_60"
"Ee_30_60_10","Paving Structure","Ee_30_60"
"Ee_30_60_30","Paving Accessible Openings","Ee_30_60"
"Ee_30_60_40","Paving Trafficable Coverings","Ee_30_60"
"Ee_30_60_45","Paving Trafficable Finishes","Ee_30_60"
"Ee_30_60_55","Paving Barriers","Ee_30_60"
"Ee_30_60_65","Paving Accessory Finishes","Ee_30_60"
"Ee_30_60_75","Paving Drainage","Ee_30_60"
"Ee_30_65","Suspended Paving","Ee_30"
"Ee_30_65_05","Paving Substructure","Ee_30_65"
"Ee_30_65_10","Paving Structure","Ee_30_65"
"Ee_30_65_30","Paving Accessible Openings","Ee_30_65"
"Ee_30_65_35","Paving Non-Accessible Openings","Ee_30_65"
"Ee_30_65_40","Paving Trafficable Coverings","Ee_30_65"
"Ee_30_65_42","Paving Soffit Coverings","Ee_30_65"
"Ee_30_65_45","Paving Trafficable Finishes","Ee_30_65"
"Ee_30_65_47","Paving Soffit Finishes","Ee_30_65"
"Ee_30_65_55","Paving Barriers","Ee_30_65"
"Ee_30_65_65","Paving Accessory Finishes","Ee_30_65"
"Ee_30_65_75","Paving Drainage","Ee_30_65"
"Ee_30_70","Static Bridge Decks","Ee_30"
"Ee_30_70_10","Static Bridge Deck Structure","Ee_30_70"
"Ee_30_70_20","Static Bridge Decking","Ee_30_70"
"Ee_30_70_30","Static Bridge Deck Accessible Openings","Ee_30_70"
"Ee_30_70_35","Static Bridge Deck Non-Accessible Openings","Ee_30_70"
"Ee_30_70_40","Static Bridge Deck Trafficable Coverings","Ee_30_70"
"Ee_30_70_42","Static Bridge Deck Soffit Coverings","Ee_30_70"
"Ee_30_70_45","Static Bridge Deck Trafficable Finishes","Ee_30_70"
"Ee_30_70_47","Static Bridge Deck Soffit Finishes","Ee_30_70"
"Ee_30_70_55","Static Bridge Deck Barriers","Ee_30_70"
"Ee_30_70_65","Static Bridge Deck Accessory Finishes","Ee_30_70"
"Ee_30_70_75","Static Bridge Deck Drainage","Ee_30_70"
"Ee_30_70_85","Static Bridge Deck Protection","Ee_30_70"
"Ee_30_95","Temporary Roofs, Floors And Paving","Ee_30"
"Ee_35","Fixed Access, Tunnel, Shaft, Vessel And Tower Elements","Ee"
"Ee_35_10","On-Ground Stairs","Ee_35"
"Ee_35_10_05","On-Ground Stairs Substructure","Ee_35_10"
"Ee_35_10_10","On-Ground Stairs Tread And Landing Structure","Ee_35_10"
"Ee_35_10_15","On-Ground Stairs Nosing Core Fabric","Ee_35_10"
"Ee_35_10_30","On-Ground Stairs Accessible Openings","Ee_35_10"
"Ee_35_10_35","On-Ground Stairs Non-Accessible Openings","Ee_35_10"
"Ee_35_10_40","On-Ground Stairs Tread And Landing Coverings","Ee_35_10"
"Ee_35_10_42","On-Ground Stairs Nosing Coverings","Ee_35_10"
"Ee_35_10_45","On-Ground Stairs Tread And Landing Finishes","Ee_35_10"
"Ee_35_10_47","On-Ground Stairs Nosing Finishes","Ee_35_10"
"Ee_35_10_55","On-Ground Stairs Barriers","Ee_35_10"
"Ee_35_10_65","On-Ground Stairs Accessory Finishes","Ee_35_10"
"Ee_35_10_75","On-Ground Stairs Drainage","Ee_35_10"
"Ee_35_15","Suspended Stairs","Ee_35"
"Ee_35_15_10","Suspended Stairs Tread And Landing Structure","Ee_35_15"
"Ee_35_15_15","Suspended Stairs Nosing Core Fabric","Ee_35_15"
"Ee_35_15_30","Suspended Stairs Accessible Openings","Ee_35_15"
"Ee_35_15_35","Suspended Stairs Non-Accessible Openings","Ee_35_15"
"Ee_35_15_40","Suspended Stairs Tread And Landing Coverings","Ee_35_15"
"Ee_35_15_41","Suspended Stairs Nosing Coverings","Ee_35_15"
"Ee_35_15_42","Suspended Stairs Soffit Coverings","Ee_35_15"
"Ee_35_15_45","Suspended Stairs Tread And Landing Finishes","Ee_35_15"
"Ee_35_15_46","Suspended Stairs Nosing Finishes","Ee_35_15"
"Ee_35_15_47","Suspended Stairs Soffit Finishes","Ee_35_15"
"Ee_35_15_55","Suspended Stairs Barriers","Ee_35_15"
"Ee_35_15_65","Suspended Stairs Accessory Finishes","Ee_35_15"
"Ee_35_20","On-Ground Ramps","Ee_35"
"Ee_35_20_05","On-Ground Ramps Substructure","Ee_35_20"
"Ee_35_20_10","On-Ground Ramps Structure","Ee_35_20"
"Ee_35_20_30","On-Ground Ramps Accessible Openings","Ee_35_20"
"Ee_35_20_35","On-Ground Ramps Non-Accessible Openings","Ee_35_20"
"Ee_35_20_40","On-Ground Ramps Trafficable Coverings","Ee_35_20"
"Ee_35_20_45","On-Ground Ramps Trafficable Finishes","Ee_35_20"
"Ee_35_20_55","On-Ground Ramps Barriers","Ee_35_20"
"Ee_35_20_65","On-Ground Ramps Accessory Finishes","Ee_35_20"
"Ee_35_20_75","On-Ground Ramps Drainage","Ee_35_20"
"Ee_35_25","Suspended Ramps","Ee_35"
"Ee_35_25_10","Suspended Ramps Structure","Ee_35_25"
"Ee_35_25_30","Suspended Ramps Accessible Openings","Ee_35_25"
"Ee_35_25_35","Suspended Ramps Non-Accessible Openings","Ee_35_25"
"Ee_35_25_40","Suspended Ramps Trafficable Coverings","Ee_35_25"
"Ee_35_25_42","Suspended Ramps Soffit Coverings","Ee_35_25"
"Ee_35_25_45","Suspended Ramps Trafficable Finishes","Ee_35_25"
"Ee_35_25_47","Suspended Ramps Soffit Finishes","Ee_35_25"
"Ee_35_25_55","Suspended Ramps Barriers","Ee_35_25"
"Ee_35_25_65","Suspended Ramps Accessory Finishes","Ee_35_25"
"Ee_35_30","Tunnels","Ee_35"
"Ee_35_30_05","Tunnels Substructure","Ee_35_30"
"Ee_35_30_10","Tunnels Structure","Ee_35_30"
"Ee_35_30_30","Tunnels Accessible Openings","Ee_35_30"
"Ee_35_30_35","Tunnels Non-Accessible Openings","Ee_35_30"
"Ee_35_30_40","Tunnels Coverings","Ee_35_30"
"Ee_35_30_45","Tunnels Finishes","Ee_35_30"
"Ee_35_30_55","Tunnels Barriers","Ee_35_30"
"Ee_35_30_57","Tunnels Fixed Access","Ee_35_30"
"Ee_35_30_65","Tunnels Accessory Finishes","Ee_35_30"
"Ee_35_30_75","Tunnels Drainage","Ee_35_30"
"Ee_35_40","On-Ground Tubes","Ee_35"
"Ee_35_45","Suspended Tubes","Ee_35"
"Ee_35_50","Shafts","Ee_35"
"Ee_35_50_10","Shafts Structure","Ee_35_50"
"Ee_35_50_30","Shafts Accessible Openings","Ee_35_50"
"Ee_35_50_35","Shafts Non-Accessible Openings","Ee_35_50"
"Ee_35_50_40","Shafts Coverings","Ee_35_50"
"Ee_35_50_45","Shafts Finishes","Ee_35_50"
"Ee_35_50_55","Shafts Barriers","Ee_35_50"
"Ee_35_50_57","Shafts Fixed Access","Ee_35_50"
"Ee_35_50_65","Shafts Accessory Finishes","Ee_35_50"
"Ee_35_50_75","Shafts Drainage","Ee_35_50"
"Ee_35_60","Chutes","Ee_35"
"Ee_35_60_10","Chutes Structure","Ee_35_60"
"Ee_35_60_40","Chutes Coverings","Ee_35_60"
"Ee_35_60_45","Chutes Finishes","Ee_35_60"
"Ee_35_70","Vessels","Ee_35"
"Ee_35_70_05","Vessels Substructure","Ee_35_70"
"Ee_35_70_10","Vessels Structure","Ee_35_70"
"Ee_35_70_30","Vessels Accessible Openings","Ee_35_70"
"Ee_35_70_35","Vessels Non-Accessible Openings","Ee_35_70"
"Ee_35_70_40","Vessels External Coverings","Ee_35_70"
"Ee_35_70_42","Vessels Internal Coverings","Ee_35_70"
"Ee_35_70_45","Vessels External Finishes","Ee_35_70"
"Ee_35_70_47","Vessels Internal Finishes","Ee_35_70"
"Ee_35_70_55","Vessels Barriers","Ee_35_70"
"Ee_35_70_57","Vessels Fixed Access","Ee_35_70"
"Ee_35_70_65","Vessels Accessory Finishes","Ee_35_70"
"Ee_35_70_75","Vessels Drainage And Water Supply","Ee_35_70"
"Ee_35_80","Towers","Ee_35"
"Ee_35_80_05","Towers Substructure","Ee_35_80"
"Ee_35_80_10","Towers Structure","Ee_35_80"
"Ee_35_80_30","Towers Accessible Openings","Ee_35_80"
"Ee_35_80_35","Towers Non-Accessible Openings","Ee_35_80"
"Ee_35_80_40","Towers Coverings","Ee_35_80"
"Ee_35_80_45","Towers Finishes","Ee_35_80"
"Ee_35_80_55","Towers Barriers","Ee_35_80"
"Ee_35_80_57","Towers Fixed Access","Ee_35_80"
"Ee_35_80_65","Towers Accessory Finishes","Ee_35_80"
"Ee_35_90","Masts","Ee_35"
"Ee_35_90","Temporary Fixed Access, Tunnels, Shafts, Vessels And Towers","Ee_35"
"Ee_40","Signage And Fittings, Furnishings And Equipment (Ff&E)","Ee"
"Ee_40_10","Signage","Ee_40"
"Ee_40_10_30","External Signage","Ee_40_10"
"Ee_40_10_40","Internal Signage","Ee_40_10"
"Ee_40_10_85","Signage Power Supply And Protection","Ee_40_10"
"Ee_40_15","Fittings, Furnishings And Equipment (Ff&E)","Ee_40"
"Ee_40_15_05","General Ff&E","Ee_40_15"
"Ee_40_15_20","Administrative, Commercial And Protective Service Ff&E","Ee_40_15"
"Ee_40_15_25","Cultural, Educational, Scientific And Information Ff&E","Ee_40_15"
"Ee_40_15_30","Industrial Ff&E","Ee_40_15"
"Ee_40_15_35","Medical, Health, Welfare And Sanitary Ff&E","Ee_40_15"
"Ee_40_15_40","Recreational Ff&E","Ee_40_15"
"Ee_40_15_45","Residential Ff&E","Ee_40_15"
"Ee_40_15_50","Drainage Ff&E","Ee_40_15"
