"Sp","Spaces","Uniclass2"
"Sp_35_10_08","Birthing Rooms","Sp_35_10"
"Sp_35_10_10","Burns Units","Sp_35_10"
"Sp_35_10_12","Children’s Wards","Sp_35_10"
"Sp_35_10_15","Consulting Rooms","Sp_35_10"
"Sp_35_10_18","Ct And Other Scanning Rooms","Sp_35_10"
"Sp_35_10_22","Dental Surgeries","Sp_35_10"
"Sp_35_10_23","Dissection Rooms","Sp_35_10"
"Sp_35_10_24","Doctors Consulting Rooms","Sp_35_10"
"Sp_35_10_30","Field Surgeries","Sp_35_10"
"Sp_35_10_36","Hearing Test Rooms","Sp_35_10"
"Sp_35_10_37","Hospital Laundries","Sp_35_10"
"Sp_35_10_38","Hospital Records Stores","Sp_35_10"
"Sp_35_10_42","Intensive Care Wards","Sp_35_10"
"Sp_35_10_43","Isolation Units","Sp_35_10"
"Sp_35_10_50","Maternity Wards","Sp_35_10"
"Sp_35_10_57","Nursing Clinics","Sp_35_10"
"Sp_35_10_58","Occupational Therapy Rooms","Sp_35_10"
"Sp_35_10_59","Operating Theatres","Sp_35_10"
"Sp_35_10_64","Pharmaceutical Dispensaries","Sp_35_10"
"Sp_35_10_65","Pharmacies","Sp_35_10"
"Sp_35_10_66","Physiotherapy Rooms","Sp_35_10"
"Sp_35_10_68","Prosthetics Rehabilitation Rooms","Sp_35_10"
"Sp_35_10_70","Radiography Rooms","Sp_35_10"
"Sp_35_10_71","Radiotherapy Rooms","Sp_35_10"
"Sp_35_10_72","Receptionist Areas","Sp_35_10"
"Sp_35_10_73","Recovery Wards","Sp_35_10"
"Sp_35_10_74","Rehabilitation Rooms","Sp_35_10"
"Sp_35_10_76","Screening Laboratories","Sp_35_10"
"Sp_35_30","Health Spaces","Sp_35"
"Sp_35_30_08","Blood Donation Rooms","Sp_35_30"
"Sp_35_30_22","Dental Surgeries","Sp_35_30"
"Sp_35_30_23","Doctors Consulting Rooms","Sp_35_30"
"Sp_35_30_30","First Aid Posts","Sp_35_30"
"Sp_35_30_37","Health Waiting Rooms","Sp_35_30"
"Sp_35_30_52","Minor Operating Theatres","Sp_35_30"
"Sp_35_30_57","Nursing Clinics","Sp_35_30"
"Sp_35_30_63","Pharmaceutical Dispensaries","Sp_35_30"
"Sp_35_30_64","Physiotherapy Rooms","Sp_35_30"
"Sp_35_30_67","Prosthetics Rehabilitation Rooms","Sp_35_30"
"Sp_35_30_71","Receptionist Areas","Sp_35_30"
"Sp_35_30_72","Records Stores","Sp_35_30"
"Sp_35_30_76","Screening Laboratories","Sp_35_30"
"Sp_35_30_78","Sick Bays","Sp_35_30"
"Sp_35_30_87","Tattoo Parlours","Sp_35_30"
"Sp_35_50","Welfare Spaces","Sp_35"
"Sp_35_50_15","Convalescence Decks","Sp_35_50"
"Sp_35_50_16","Convalescence Rooms","Sp_35_50"
"Sp_35_50_17","CrèChes","Sp_35_50"
"Sp_35_50_28","Exercise Rooms","Sp_35_50"
"Sp_35_50_36","Homeless Dormitories","Sp_35_50"
"Sp_35_50_37","Homeless Refectories","Sp_35_50"
"Sp_35_50_38","Hospice Bedrooms","Sp_35_50"
"Sp_35_50_55","Needle Use Rooms","Sp_35_50"
"Sp_35_50_56","Nurseries","Sp_35_50"
"Sp_35_50_57","Nursing Home Bedrooms","Sp_35_50"
"Sp_35_50_75","Sanatoria Wards","Sp_35_50"
"Sp_35_50_80","Soup Kitchens","Sp_35_50"
"Sp_35_50_85","Suicide-Watch Rooms","Sp_35_50"
"Sp_35_50_97","Welfare Interview Rooms","Sp_35_50"
"Sp_35_70","Funerary Spaces","Sp_35"
"Sp_35_70_12","Cemeteries","Sp_35_70"
"Sp_35_70_13","Chapels Of Rest","Sp_35_70"
"Sp_35_70_15","Columbaria","Sp_35_70"
"Sp_35_70_18","Crematorium Oven Rooms","Sp_35_70"
"Sp_35_70_29","Field Mortuaries","Sp_35_70"
"Sp_35_70_31","Funeral Parlours","Sp_35_70"
"Sp_35_70_32","Funeral Vaults","Sp_35_70"
"Sp_35_70_33","Gardens Of Remembrance","Sp_35_70"
"Sp_35_70_50","Mausoleums","Sp_35_70"
"Sp_35_70_54","Morgues","Sp_35_70"
"Sp_35_70_55","Mortuaries","Sp_35_70"
"Sp_35_70_78","Shrines","Sp_35_70"
"Sp_35_70_90","Tombs","Sp_35_70"
"Sp_35_80","Sanitary Spaces","Sp_35"
"Sp_35_80_01","Accessible Changing Rooms","Sp_35_80"
"Sp_35_80_02","Accessible Public Bathrooms","Sp_35_80"
"Sp_35_80_03","Accessible Public Showers","Sp_35_80"
"Sp_35_80_04","Accessible Public Toilets","Sp_35_80"
"Sp_35_80_06","Baby Changing Rooms","Sp_35_80"
"Sp_35_80_50","Men’s Changing Rooms","Sp_35_80"
"Sp_35_80_51","Men’s Public Bathrooms","Sp_35_80"
"Sp_35_80_52","Men’s Public Showers","Sp_35_80"
"Sp_35_80_53","Men’s Public Toilets (e.g. Toilet Pods)","Sp_35_80"
"Sp_35_80_59","Open Shower Areas","Sp_35_80"
"Sp_35_80_64","Private Bathrooms (e.g. Bathroom Pods)","Sp_35_80"
"Sp_35_80_65","Private Showers","Sp_35_80"
"Sp_35_80_66","Private Toilets","Sp_35_80"
"Sp_35_80_80","Smoking Spaces","Sp_35_80"
"Sp_35_80_91","Unisex Changing Rooms","Sp_35_80"
"Sp_35_80_92","Unisex Public Bathrooms","Sp_35_80"
"Sp_35_80_93","Unisex Public Showers","Sp_35_80"
"Sp_35_80_94","Unisex Public Toilets","Sp_35_80"
"Sp_35_80_95","Urinals","Sp_35_80"
"Sp_35_80_96","Women’s Changing Rooms","Sp_35_80"
"Sp_35_80_97","Women’s Public Bathrooms","Sp_35_80"
"Sp_35_80_98","Women’s Public Showers","Sp_35_80"
"Sp_35_80_99","Women’s Public Toilets","Sp_35_80"
"Sp_35_90","Animal Medical, Health, Welfare, Funerary And Sanitary Spaces","Sp_35"
"Sp_35_90_02","Animal Clinics","Sp_35_90"
"Sp_35_90_03","Animal Clipping And Pedicuring Boutiques","Sp_35_90"
"Sp_35_90_04","Animal Dispensaries","Sp_35_90"
"Sp_35_90_05","Animal Exercise Yards","Sp_35_90"
"Sp_35_90_06","Animal Funerary Spaces","Sp_35_90"
"Sp_35_90_07","Animal Operating Theatres","Sp_35_90"
"Sp_35_90_08","Animal Quarantine Spaces","Sp_35_90"
"Sp_35_90_09","Animal Recovery Wards","Sp_35_90"
"Sp_35_90_37","Hippotherapy Pools","Sp_35_90"
"Sp_35_90_90","Welfare Aquaria","Sp_35_90"
"Sp_35_90_92","Welfare Aviaries","Sp_35_90"
"Sp_35_90_93","Welfare Cages","Sp_35_90"
"Sp_35_90_95","Welfare Kennels","Sp_35_90"
"Sp_35_90_97","Welfare Stables","Sp_35_90"
"Sp_35_90_98","Welfare Stalls","Sp_35_90"
"Sp_35_90_99","Welfare Sties","Sp_35_90"
"Sp_40","Recreational Spaces","Sp"
"Sp_40_05","Amusement Spaces","Sp_40"
"Sp_40_05_01","Adventure Playgrounds","Sp_40_05"
"Sp_40_05_03","Amusement Arcades","Sp_40_05"
"Sp_40_05_08","Bookmaker’s Halls","Sp_40_05"
"Sp_40_05_11","Camping Sites","Sp_40_05"
"Sp_40_05_12","Caravan Sites","Sp_40_05"
"Sp_40_05_13","Casino Floors","Sp_40_05"
"Sp_40_05_23","Dodgem Cars Arenas","Sp_40_05"
"Sp_40_05_42","Indoor Rides","Sp_40_05"
"Sp_40_05_43","Interpretation Spaces","Sp_40_05"
"Sp_40_05_58","Observation Decks","Sp_40_05"
"Sp_40_05_59","Outdoor Activity Areas","Sp_40_05"
"Sp_40_05_60","Outdoor Rides","Sp_40_05"
"Sp_40_05_62","Permanent Fair Grounds","Sp_40_05"
"Sp_40_05_63","Play Spaces","Sp_40_05"
"Sp_40_05_64","Playgrounds","Sp_40_05"
"Sp_40_05_65","Pleasure Gardens","Sp_40_05"
"Sp_40_05_67","Public Gardens","Sp_40_05"
"Sp_40_05_68","Public Parks","Sp_40_05"
"Sp_40_05_88","Temporary Fair Grounds","Sp_40_05"
"Sp_40_05_89","Theme Parks","Sp_40_05"
"Sp_40_05_90","Tourist Information Offices","Sp_40_05"
"Sp_40_05_99","Zen Gardens","Sp_40_05"
"Sp_40_20","Dining Spaces","Sp_40"
"Sp_40_20_05","Banqueting Rooms","Sp_40_20"
"Sp_40_20_06","Bars","Sp_40_20"
"Sp_40_20_07","Beer Cellars","Sp_40_20"
"Sp_40_20_08","Beer Gardens","Sp_40_20"
"Sp_40_20_09","Beverage Stations","Sp_40_20"
"Sp_40_20_10","Buffet Bars","Sp_40_20"
"Sp_40_20_11","Canteens","Sp_40_20"
"Sp_40_20_14","Cocktail Lounges","Sp_40_20"
"Sp_40_20_15","Cold Rooms","Sp_40_20"
"Sp_40_20_16","Cook/ Chill Spaces","Sp_40_20"
"Sp_40_20_19","Customer Queuing Spaces","Sp_40_20"
"Sp_40_20_20","Customer Waiting Areas","Sp_40_20"
"Sp_40_20_27","Enclosed Dining Areas","Sp_40_20"
"Sp_40_20_28","Food Courts","Sp_40_20"
"Sp_40_20_32","Footpath Dining Areas","Sp_40_20"
"Sp_40_20_33","Function Rooms","Sp_40_20"
"Sp_40_20_45","Kitchens","Sp_40_20"
"Sp_40_20_46","Larders","Sp_40_20"
"Sp_40_20_52","Messes","Sp_40_20"
"Sp_40_20_58","Open-Plan Dining Areas","Sp_40_20"
"Sp_40_20_59","Outdoor Dining Areas","Sp_40_20"
"Sp_40_20_60","Pantries","Sp_40_20"
"Sp_40_20_72","Refectories","Sp_40_20"
"Sp_40_20_75","Salad Bars","Sp_40_20"
"Sp_40_20_77","Serveries","Sp_40_20"
"Sp_40_20_87","Tap Rooms","Sp_40_20"
"Sp_40_20_90","Tray Return Spaces","Sp_40_20"
"Sp_40_20_96","Waste Food Handling Spaces","Sp_40_20"
"Sp_40_20_98","Wine Cellars","Sp_40_20"
"Sp_40_35","Historic Recreational Spaces","Sp_40"
"Sp_40_35_04","Anglo-Saxon Ruins","Sp_40_35"
"Sp_40_35_06","Battle Sites","Sp_40_35"
"Sp_40_35_37","Historic Earthworks","Sp_40_35"
"Sp_40_35_41","Indoor Historic Spaces","Sp_40_35"
"Sp_40_35_42","Industrial Ruins","Sp_40_35"
"Sp_40_35_51","Medieval Ruins","Sp_40_35"
"Sp_40_35_57","Norman Ruins","Sp_40_35"
"Sp_40_35_66","Prehistoric Ruins","Sp_40_35"
"Sp_40_35_72","Roman Ruins","Sp_40_35"
"Sp_40_35_95","Viking Ruins","Sp_40_35"
"Sp_40_60","Performing Arts Performance Spaces","Sp_40"
"Sp_40_60_06","Bandstands","Sp_40_60"
"Sp_40_60_11","Cat Walks","Sp_40_60"
"Sp_40_60_13","Circus Rings","Sp_40_60"
"Sp_40_60_21","Dance Floors","Sp_40_60"
"Sp_40_60_30","Film Studios","Sp_40_60"
"Sp_40_60_31","Fixed Stages","Sp_40_60"
"Sp_40_60_52","Mobile Stages","Sp_40_60"
"Sp_40_60_53","Motion Picture Screen Spaces","Sp_40_60"
"Sp_40_60_55","Music Recording Studios","Sp_40_60"
"Sp_40_60_58","Orchestra Pits","Sp_40_60"
"Sp_40_60_59","Outdoor Theatre Spaces","Sp_40_60"
"Sp_40_60_62","Performance Spaces","Sp_40_60"
"Sp_40_60_80","Sound Shells","Sp_40_60"
"Sp_40_60_81","Sound Stages","Sp_40_60"
"Sp_40_60_88","Temporary Stages","Sp_40_60"
"Sp_40_65","Performing Arts Ancillary Spaces","Sp_40"
"Sp_40_65_02","Amphitheatres","Sp_40_65"
"Sp_40_65_04","Audience Lobbies","Sp_40_65"
"Sp_40_65_05","Auditoria","Sp_40_65"
"Sp_40_65_06","Backstage Spaces","Sp_40_65"
"Sp_40_65_08","Box Seating Spaces","Sp_40_65"
"Sp_40_65_30","Fly Towers","Sp_40_65"
"Sp_40_65_31","Foyers","Sp_40_65"
"Sp_40_65_33","Gallery Seating Spaces","Sp_40_65"
"Sp_40_65_35","Green Rooms","Sp_40_65"
"Sp_40_65_47","Lighting Control Booths","Sp_40_65"
"Sp_40_65_55","Music Recording Control Booths","Sp_40_65"
"Sp_40_65_66","Projection Booths","Sp_40_65"
"Sp_40_65_72","Rehearsal Rooms","Sp_40_65"
"Sp_40_65_76","Scenery Control Booths","Sp_40_65"
"Sp_40_65_79","Sound Control Booths","Sp_40_65"
"Sp_40_65_80","Sound Locks","Sp_40_65"
"Sp_40_65_84","Stage Wings","Sp_40_65"
"Sp_40_65_85","Stalls Seating Spaces","Sp_40_65"
"Sp_40_65_88","Temporary Seating Areas","Sp_40_65"
"Sp_40_65_89","Ticket Offices","Sp_40_65"
"Sp_40_75","Social Recreation Spaces","Sp_40"
"Sp_40_75_14","Club Rooms","Sp_40_75"
"Sp_40_75_15","Community Halls","Sp_40_75"
"Sp_40_80","Summer Olympic Sports Play Spaces (excl. Pool Sports)","Sp_40"
"Sp_40_80_01","Archery Ranges","Sp_40_80"
"Sp_40_80_02","Artistic Gymnastics Arenas","Sp_40_80"
"Sp_40_80_04","Athletics Fields","Sp_40_80"
"Sp_40_80_05","Athletics Tracks","Sp_40_80"
"Sp_40_80_06","Badminton Courts","Sp_40_80"
"Sp_40_80_07","Basketball Courts","Sp_40_80"
"Sp_40_80_08","Beach Volleyball Courts","Sp_40_80"
"Sp_40_80_09","Bmx Cycling Tracks","Sp_40_80"
"Sp_40_80_10","Boxing Rings","Sp_40_80"
"Sp_40_80_11","Canoe Slalom Courses","Sp_40_80"
"Sp_40_80_12","Canoe Sprint Courses","Sp_40_80"
"Sp_40_80_26","Equestrian Dressage Arenas","Sp_40_80"
"Sp_40_80_27","Equestrian Eventing Arenas","Sp_40_80"
"Sp_40_80_28","Equestrian Jumping Courses","Sp_40_80"
"Sp_40_80_29","Fencing Pistes","Sp_40_80"
"Sp_40_80_31","Football Pitches","Sp_40_80"
"Sp_40_80_36","Handball Courts","Sp_40_80"
"Sp_40_80_38","Hockey Pitches","Sp_40_80"
"Sp_40_80_44","Judo Competition Areas","Sp_40_80"
"Sp_40_80_53","Mountain Biking Trails","Sp_40_80"
"Sp_40_80_71","Rhythmic Gymnastics","Sp_40_80"
"Sp_40_80_72","Road Cycling Courses","Sp_40_80"
"Sp_40_80_73","Rowing Courses","Sp_40_80"
"Sp_40_80_75","Sailing Courses","Sp_40_80"
"Sp_40_80_77","Shooting Ranges","Sp_40_80"
"Sp_40_80_87","Table Tennis Spaces","Sp_40_80"
"Sp_40_80_88","Taekwondo Competition Areas","Sp_40_80"
"Sp_40_80_89","Tennis Courts","Sp_40_80"
"Sp_40_80_90","Track Cycling Tracks","Sp_40_80"
"Sp_40_80_91","Trampoline Gymnastics Spaces","Sp_40_80"
"Sp_40_80_95","Volleyball Courts","Sp_40_80"
"Sp_40_80_97","Weightlifting Spaces","Sp_40_80"
"Sp_40_80_98","Wrestling Rings","Sp_40_80"
"Sp_40_81","Winter Olympic Sports Play Spaces","Sp_40"
"Sp_40_81_02","Alpine Skiing Courses","Sp_40_81"
"Sp_40_81_08","Bobsled Courses","Sp_40_81"
"Sp_40_81_19","Cross-Country Skiing Courses","Sp_40_81"
"Sp_40_81_20","Curling Rinks","Sp_40_81"
"Sp_40_81_30","Figure Skating Rinks","Sp_40_81"
"Sp_40_81_32","Freestyle Skiing Courses","Sp_40_81"
"Sp_40_81_40","Ice Hockey Rinks","Sp_40_81"
"Sp_40_81_49","Luge Tracks","Sp_40_81"
"Sp_40_81_76","Short Track Speed Skating Tracks","Sp_40_81"
"Sp_40_81_77","Skeleton Courses","Sp_40_81"
"Sp_40_81_78","Ski Jumping Jumps","Sp_40_81"
"Sp_40_81_79","Ski Jumping Landing Areas","Sp_40_81"
"Sp_40_81_80","Snowboarding Courses","Sp_40_81"
"Sp_40_81_83","Speed Skating Courses","Sp_40_81"
"Sp_40_82","Non-Olympic Indoor Sports Play Spaces","Sp_40"
"Sp_40_82_01","Aerobics Spaces","Sp_40_82"
"Sp_40_82_08","Body Building Spaces","Sp_40_82"
"Sp_40_82_12","Circuit Training Courses","Sp_40_82"
"Sp_40_82_14","Climbing Wall Areas","Sp_40_82"
"Sp_40_82_21","Darts Throwing Spaces","Sp_40_82"
"Sp_40_82_31","Fives Courts","Sp_40_82"
"Sp_40_82_50","Martial Arts Spaces","Sp_40_82"
"Sp_40_82_56","Netball Courts","Sp_40_82"
"Sp_40_82_72","Rope Climbing Areas","Sp_40_82"
"Sp_40_82_78","Skittles Courts","Sp_40_82"
"Sp_40_82_79","Snooker Halls","Sp_40_82"
"Sp_40_82_80","Solaria","Sp_40_82"
"Sp_40_82_83","Squash Courts","Sp_40_82"
"Sp_40_82_86","Sumo Rings","Sp_40_82"
"Sp_40_82_90","Ten Pin Bowling Lanes","Sp_40_82"
"Sp_40_82_97","Weight Rooms","Sp_40_82"
"Sp_40_82_98","Workout Stations","Sp_40_82"
"Sp_40_83","Non-Olympic Outdoor Sports Play Spaces","Sp_40"
"Sp_40_83_06","Baseball Pitches","Sp_40_83"
"Sp_40_83_08","Bowling Greens","Sp_40_83"
"Sp_40_83_11","Car Racing Tracks","Sp_40_83"
"Sp_40_83_17","Cricket Pitches","Sp_40_83"
"Sp_40_83_18","Cross-Country Cycling Courses","Sp_40_83"
"Sp_40_83_19","Cross-Country Rallying Courses","Sp_40_83"
"Sp_40_83_20","Cross-Country Running Courses","Sp_40_83"
"Sp_40_83_23","Dog Racing Tracks","Sp_40_83"
"Sp_40_83_30","Fishing Courses","Sp_40_83"
"Sp_40_83_31","Five-A-Side Football Pitches","Sp_40_83"
"Sp_40_83_33","Gliding Runways","Sp_40_83"
"Sp_40_83_34","Golf Bunkers","Sp_40_83"
"Sp_40_83_35","Golf Driving Ranges","Sp_40_83"
"Sp_40_83_36","Golf Fairways","Sp_40_83"
"Sp_40_83_37","Golf Greens","Sp_40_83"
"Sp_40_83_38","Hang Gliding Launch Spaces","Sp_40_83"
"Sp_40_83_39","Horse Racing Tracks","Sp_40_83"
"Sp_40_83_52","Motor Boating Courses","Sp_40_83"
"Sp_40_83_53","Motorcycle Racing Tracks","Sp_40_83"
"Sp_40_83_55","Multi-Sports Courts","Sp_40_83"
"Sp_40_83_60","Parkour Courses","Sp_40_83"
"Sp_40_83_64","Polo Fields","Sp_40_83"
"Sp_40_83_71","Road Cycling Courses","Sp_40_83"
"Sp_40_83_72","Road Racing Courses","Sp_40_83"
"Sp_40_83_73","Road Running Courses","Sp_40_83"
"Sp_40_83_74","Rugby Pitches","Sp_40_83"
"Sp_40_83_76","Skateboarding Parks","Sp_40_83"
"Sp_40_83_80","Softball Pitches","Sp_40_83"
"Sp_40_83_84","Street Luge Courses","Sp_40_83"
"Sp_40_83_90","Toboggan Runs","Sp_40_83"
"Sp_40_83_96","Walking Trails","Sp_40_83"
"Sp_40_83_97","Water Skiing Courses","Sp_40_83"
"Sp_40_84","Sports Ancillary Spaces","Sp_40"
"Sp_40_84_07","Bleachers","Sp_40_84"
"Sp_40_84_15","Corporate Boxes","Sp_40_84"
"Sp_40_84_25","Dugouts","Sp_40_84"
"Sp_40_84_65","Press Boxes","Sp_40_84"
"Sp_40_84_77","Ski Lift Ways","Sp_40_84"
"Sp_40_84_82","Spectator Seating Areas","Sp_40_84"
"Sp_40_84_83","Spectator Standing Areas","Sp_40_84"
"Sp_40_84_88","Technical Areas","Sp_40_84"
"Sp_40_84_89","Temporary Seating Areas","Sp_40_84"
"Sp_40_84_94","Vip Spectator Seating Areas","Sp_40_84"
"Sp_40_85","Swimming Spaces","Sp_40"
"Sp_40_85_22","Diving Boards","Sp_40_85"
"Sp_40_85_23","Diving Pools (Olympic)","Sp_40_85"
"Sp_40_85_42","Informal Swimming Pools","Sp_40_85"
"Sp_40_85_65","Pool Plant Rooms","Sp_40_85"
"Sp_40_85_71","Recreational Pools","Sp_40_85"
"Sp_40_85_82","Splash Pools","Sp_40_85"
"Sp_40_85_83","Olympics Swimming Pools","Sp_40_85"
"Sp_40_85_86","Synchronised Swimming Pools (Olympic)","Sp_40_85"
"Sp_40_85_88","Therapy Pools","Sp_40_85"
"Sp_40_85_92","Underwater Observation Rooms","Sp_40_85"
"Sp_40_85_93","Wading Pools","Sp_40_85"
"Sp_40_85_94","Water Flumes And Tubes","Sp_40_85"
"Sp_40_85_95","Water Polo Pools (Olympic)","Sp_40_85"
"Sp_40_85_96","Water Slides","Sp_40_85"
"Sp_40_85_97","Wave Pools","Sp_40_85"
"Sp_40_85_98","Whirlpool/ Spa Pools","Sp_40_85"
"Sp_45","Residential Spaces","Sp"
"Sp_45_10","Long-Term Residential Spaces","Sp_45"
"Sp_45_10_06","Back Gardens","Sp_45_10"
"Sp_45_10_07","Bathrooms","Sp_45_10"
"Sp_45_10_08","Bed/ Studies","Sp_45_10"
"Sp_45_10_09","Bedrooms","Sp_45_10"
"Sp_45_10_11","Car Ports","Sp_45_10"
"Sp_45_10_13","Clothes Drying Spaces","Sp_45_10"
"Sp_45_10_15","Conservatories","Sp_45_10"
"Sp_45_10_22","Dining Rooms","Sp_45_10"
"Sp_45_10_30","Front Gardens","Sp_45_10"
"Sp_45_10_33","Garages","Sp_45_10"
"Sp_45_10_44","Kitchen/ Dining Rooms","Sp_45_10"
"Sp_45_10_45","Kitchens","Sp_45_10"
"Sp_45_10_46","Laundries","Sp_45_10"
"Sp_45_10_48","Libraries","Sp_45_10"
"Sp_45_10_49","Living Rooms","Sp_45_10"
"Sp_45_10_75","Safe Rooms","Sp_45_10"
"Sp_45_10_77","Showers","Sp_45_10"
"Sp_45_10_85","Store Rooms","Sp_45_10"
"Sp_45_10_87","Studies","Sp_45_10"
"Sp_45_10_90","Toilets","Sp_45_10"
"Sp_45_10_93","Utility Rooms","Sp_45_10"
"Sp_45_10_94","Verandas","Sp_45_10"
"Sp_45_10_96","Walk-In Wardrobes","Sp_45_10"
"Sp_45_10_97","Wine Cellars","Sp_45_10"
"Sp_45_50","Short-Term Residential Spaces","Sp_45"
"Sp_45_50_15","Communal Bars","Sp_45_50"
"Sp_45_50_16","Communal Bathrooms","Sp_45_50"
"Sp_45_50_17","Communal Dining Rooms","Sp_45_50"
"Sp_45_50_18","Communal Living Rooms","Sp_45_50"
"Sp_45_50_19","Communal Studies/ Offices","Sp_45_50"
"Sp_45_50_20","Concierge Offices","Sp_45_50"
"Sp_45_50_23","Dormitories","Sp_45_50"
"Sp_45_50_24","Drop-Off And Collection Areas","Sp_45_50"
"Sp_45_50_37","Hotel Lobbies","Sp_45_50"
"Sp_45_50_38","Hotel Rooms","Sp_45_50"
"Sp_45_50_39","Hotel Waiting Areas","Sp_45_50"
"Sp_45_50_47","Left Luggage Stores","Sp_45_50"
"Sp_45_50_62","Private Bathrooms","Sp_45_50"
"Sp_45_50_63","Private Dining Rooms","Sp_45_50"
"Sp_45_50_64","Private Living Rooms","Sp_45_50"
"Sp_45_50_65","Private Studies/ Offices","Sp_45_50"
"Sp_45_50_67","Public Bars","Sp_45_50"
"Sp_45_50_68","Public Dining Rooms","Sp_45_50"
"Sp_45_50_72","Reception Areas","Sp_45_50"
"Sp_50","Disposal Spaces","Sp"
"Sp_50_20","Wet Waste Collection And Distribution Spaces","Sp_50"
"Sp_50_20_10","Wet Waste Collection Spaces","Sp_50_20"
"Sp_50_20_50","Wet Waste Distribution Easements","Sp_50_20"
"Sp_50_40","Dry Waste Collection And Distribution Spaces","Sp_50"
"Sp_50_40_10","Dry Waste Collection Spaces","Sp_50_40"
"Sp_50_40_50","Dry Waste Distribution Easements","Sp_50_40"
"Sp_50_60","Wet Waste Storage, Treatment And Disposal Spaces","Sp_50"
"Sp_50_60_10","Wet Waste Storage Spaces","Sp_50_60"
"Sp_50_60_40","Wet Waste Treatment Spaces","Sp_50_60"
"Sp_50_60_70","Wet Waste Disposal Spaces","Sp_50_60"
"Sp_50_80","Dry Waste Storage, Treatment And Disposal Spaces","Sp_50"
"Sp_50_80_10","Dry Waste Storage Spaces","Sp_50_80"
"Sp_50_80_40","Dry Waste Treatment Spaces","Sp_50_80"
"Sp_50_80_70","Dry Waste Disposal Spaces","Sp_50_80"
"Sp_55","Piped Supply Spaces","Sp"
"Sp_55_20","Water Extraction And Treatment Spaces","Sp_55"
"Sp_55_20_10","Water Extraction Spaces","Sp_55_20"
"Sp_55_20_50","Water Treatment Spaces","Sp_55_20"
"Sp_55_40","Fuel And Gas Extraction And Treatment Spaces","Sp_55"
"Sp_55_40_10","Fuel And Gas Extraction Spaces","Sp_55_40"
"Sp_55_40_50","Fuel And Gas Treatment Spaces","Sp_55_40"
"Sp_55_60","Water Storage Spaces","Sp_55"
"Sp_55_70","Fuel And Gas Storage Spaces","Sp_55"
"Sp_55_80","Water Distribution Spaces","Sp_55"
"Sp_55_80_80","Water Distribution Easements","Sp_55_80"
"Sp_55_90","Fuel And Gas Distribution Spaces","Sp_55"
"Sp_55_90_80","Fuel And Gas Distribution Easements","Sp_55_90"
"Sp_60","Heating, Cooling And Refrigeration Spaces","Sp"
"Sp_60_10","Heating Spaces","Sp_60"
"Sp_60_10_60","Heating Plant Rooms","Sp_60_10"
"Sp_60_10_80","Heating Distribution Easements","Sp_60_10"
"Sp_60_40","Cooling Spaces","Sp_60"
"Sp_60_40_60","Cooling Plant Rooms","Sp_60_40"
"Sp_60_40_80","Cooling Distribution Easements","Sp_60_40"
"Sp_60_70","Refrigeration Spaces","Sp_60"
"Sp_60_70_60","Refrigeration Plant Rooms","Sp_60_70"
"Sp_60_70_80","Refrigeration Distribution Easements","Sp_60_70"
"Sp_65","Ventilation And Air Conditioning Spaces","Sp"
"Sp_65_10","Ventilation And Air Conditioning Spaces tempxxx","Sp_65"
"Sp_65_10_02","Air Locks","Sp_65_10"
"Sp_65_10_03","Anterooms","Sp_65_10"
"Sp_65_10_08","Breezeways","Sp_65_10"
"Sp_65_10_11","Canopies","Sp_65_10"
"Sp_65_10_15","Corridors","Sp_65_10"
"Sp_65_10_16","Covered Walkways","Sp_65_10"
"Sp_65_10_28","Escalators And Travelators","Sp_65_10"
"Sp_65_10_30","Fire Stairways","Sp_65_10"
"Sp_65_10_34","Goods Conveyors","Sp_65_10"
"Sp_65_10_36","Hallways","Sp_65_10"
"Sp_65_10_46","Landings","Sp_65_10"
"Sp_65_10_47","Lift Cars","Sp_65_10"
"Sp_65_10_48","Lift Machine Rooms","Sp_65_10"
"Sp_65_10_49","Lift Pits","Sp_65_10"
"Sp_65_10_50","Lift Shafts","Sp_65_10"
"Sp_65_10_51","Lobbies","Sp_65_10"
"Sp_65_10_53","Monumental Stairways","Sp_65_10"
"Sp_65_10_64","Porches","Sp_65_10"
"Sp_65_10_70","Ramps","Sp_65_10"
"Sp_65_10_75","Sally Ports","Sp_65_10"
"Sp_65_10_77","Shelters","Sp_65_10"
"Sp_65_10_85","Squares (outdoor)","Sp_65_10"
"Sp_65_10_93","Utilitarian Stairways","Sp_65_10"
"Sp_65_10_94","Vestibules","Sp_65_10"
"Sp_65_10_95","Walkways And Internal Bridges","Sp_65_10"
"Sp_65_10_96","Wheelchair Circulation Spaces","Sp_65_10"
"Sp_65_40","Ventilation Spaces","Sp_65"
"Sp_65_40_60","Ventilation Plant Rooms","Sp_65_40"
"Sp_65_80","Air Conditioning Spaces","Sp_65"
"Sp_65_80_60","Air Conditioning Plant Rooms","Sp_65_80"
"Sp_65_90_01","Access Floor Voids","Sp_65_90"
"Sp_65_90_02","Air Shafts","Sp_65_90"
"Sp_65_90_12","Chimneys","Sp_65_90"
"Sp_65_90_13","Chutes","Sp_65_90"
"Sp_65_90_13","Ceiling Voids","Sp_65_90"
"Sp_65_90_15","Control Rooms","Sp_65_90"
"Sp_65_90_18","Crawl Spaces","Sp_65_90"
"Sp_65_90_27","Equipment Rooms","Sp_65_90"
